curso_Conf,legajo,desde,hasta
feel,82067871,1986-06-18,2004-03-02
build,98787937,1974-02-08,1985-03-24
indicate,29430701,2018-12-02,2020-10-18
management,35625617,2022-12-20,2023-03-23
machine,25466211,2001-02-13,2003-10-19
alone,74435680,2015-11-06,2017-11-09
writer,17138669,2015-09-08,2019-12-07
local,96197897,1978-01-02,2012-10-22
television,51572050,2003-10-05,2004-08-19
agree,73958362,1985-08-28,2012-06-15
him,40911675,1991-07-01,2010-10-06
discover,85278669,2008-09-14,2009-05-14
lay,57741774,1991-09-17,2006-05-18
just,70647232,1979-11-23,1992-09-18
Republican,78711977,1997-02-17,2009-05-07
because,14468737,1998-12-31,2022-05-30
military,34409823,2000-02-12,2002-01-09
evidence,28913226,1995-06-05,2019-12-22
as,78437607,1988-04-28,2024-05-07
son,921632,2011-06-13,2016-06-29
dinner,41732874,2006-09-29,2023-04-14
item,72855881,1995-07-14,2013-11-18
make,54148531,1994-01-30,1998-03-10
few,15472660,1996-05-25,2022-05-06
necessary,3364642,2016-09-25,2023-05-15
today,28128116,2007-03-23,2018-02-18
table,67429293,1976-09-23,1982-06-26
against,90634141,2003-04-24,2014-08-27
fall,24246668,1978-05-15,1984-11-04
toward,93463159,2016-10-14,2023-09-26
be,39826857,1983-12-15,2008-12-31
product,33246741,1970-09-21,1992-12-22
house,19959694,1999-04-21,2013-11-17
power,54940224,2012-05-16,2020-01-20
skill,41336908,2006-10-20,2014-03-25
necessary,80605334,1984-09-21,1995-07-08
support,24861155,1985-05-29,1989-08-13
suggest,19920401,1993-12-18,2006-01-07
issue,46987725,1999-04-17,1999-07-16
under,78221802,1985-02-05,1992-02-17
enjoy,56630883,2005-03-04,2020-12-02
police,90135450,2014-03-04,2018-12-02
hard,94390925,1992-04-08,2014-09-30
image,99291529,2015-01-05,2015-06-11
town,33374753,1980-11-07,1995-08-11
professional,74157142,1985-05-08,1993-09-10
degree,78214054,1996-12-05,2003-06-20
author,59771753,2010-09-07,2016-12-14
attention,67295902,2019-10-27,2021-05-02
class,84620789,2005-11-26,2021-03-24
deal,10649196,1992-08-02,2007-07-25
three,8083054,1979-10-22,1987-12-08
help,90014276,1972-08-21,1979-04-08
Democrat,33705423,1979-04-26,2016-01-06
performance,60907607,1981-05-18,2023-09-12
dinner,99869350,1970-01-04,1973-06-19
card,2468283,2003-08-13,2016-04-04
argue,89492864,2015-11-08,2021-06-16
first,49077995,2012-09-20,2019-05-21
protect,18265689,1998-12-03,2018-12-19
call,24914714,1999-07-03,2021-01-02
against,33899066,1972-03-20,2009-08-09
tough,41040298,1986-10-20,2009-03-03
more,51770014,2023-12-25,2024-07-01
language,6395511,1972-01-30,1978-04-30
water,24873145,1975-06-10,2000-02-28
indeed,69111191,2012-01-09,2014-08-18
pay,88174896,1983-09-11,1991-02-08
most,54793601,2002-10-08,2013-03-07
still,2951138,2023-07-15,2024-01-17
service,19604882,1976-10-25,2023-07-18
modern,39011452,2019-05-31,2021-04-16
show,9215582,2022-06-05,2023-08-01
white,45493082,1993-12-10,2021-10-11
manage,30823820,2021-11-25,2024-06-12
cover,21661391,1997-10-09,2008-07-22
cultural,83804976,2000-01-02,2007-08-15
down,57464250,2005-09-06,2006-11-05
late,88228399,1988-11-12,2005-11-24
couple,96743297,1977-05-17,2011-05-13
trip,41663471,1976-08-26,2000-09-11
account,85669407,2017-10-09,2018-05-09
among,6446462,1995-08-13,2015-09-23
black,7418734,1987-02-24,2005-06-16
word,25417230,2017-09-14,2020-03-01
occur,37346731,2017-12-21,2023-05-10
star,30731870,1981-04-16,2011-07-05
step,75807290,1971-06-04,1997-05-06
interesting,58439783,1980-09-19,2012-06-23
current,41182150,1989-03-14,2009-01-08
water,95721658,2003-05-13,2019-04-28
president,69130791,1981-06-14,1989-06-11
activity,90107959,2000-09-16,2013-11-20
outside,52750923,2024-01-11,2024-05-21
seat,62692124,2011-07-15,2022-09-10
sometimes,95595429,1978-10-28,2012-08-19
those,46559773,2023-07-27,2024-06-27
show,60880505,1974-09-08,2018-02-15
her,90455441,1976-07-15,1980-09-26
skin,14901371,2010-06-13,2012-09-21
appear,19179913,1997-02-16,2017-09-02
them,16646074,1996-01-04,2021-03-07
point,6396258,1970-04-14,2001-08-08
relationship,77512562,2023-10-25,2023-12-07
wall,27473380,1989-02-28,2006-03-30
road,19367606,1999-08-10,2008-09-17
above,12574163,1992-11-23,1994-10-10
write,29790409,2022-10-01,2024-05-10
economic,26080290,2024-02-26,2024-04-14
central,3424327,2003-03-15,2020-05-03
play,67806619,1978-10-14,2003-08-31
involve,71821119,2006-04-07,2014-06-28
our,66990906,1973-12-28,2016-06-01
however,36818634,2007-08-26,2023-01-17
stand,41734520,1974-03-21,2000-02-19
newspaper,6646833,1976-09-27,2023-07-06
identify,14418806,1995-08-17,2012-11-07
black,43464706,1976-12-30,1979-02-02
interesting,70046784,1987-07-27,2020-04-20
food,85018079,1979-07-29,2002-11-22
knowledge,36676688,1983-04-20,2016-06-16
technology,52501659,1971-03-28,1998-09-20
camera,15491191,1973-08-20,2003-08-18
fast,23980751,2017-08-02,2019-02-11
life,94840060,1996-12-01,2024-02-04
firm,88899843,1983-05-31,2015-03-05
who,26303171,2018-04-02,2018-09-07
every,64608392,2006-09-24,2014-11-12
guess,416479,1979-05-20,2005-10-27
husband,72860218,2021-09-27,2023-06-22
him,9801603,1996-09-12,2011-02-16
land,62100604,1977-09-02,2021-02-18
along,50397796,2003-04-20,2023-02-14
fear,60590724,1994-02-16,2002-10-07
gas,63215772,2020-03-24,2022-01-26
mission,64031080,1997-07-30,2003-02-14
usually,11761819,2021-10-09,2023-12-19
surface,56587684,2016-01-12,2020-09-22
environmental,38527881,2015-11-20,2022-07-14
seek,74281086,2002-04-13,2009-05-28
tend,32591974,2013-04-30,2015-04-25
claim,16709170,1983-01-06,2004-03-20
professor,69103248,1972-10-31,2002-09-15
east,95631885,1970-01-19,1997-02-01
third,6369309,1984-12-21,1993-10-20
consider,77755324,1976-01-11,1984-06-07
process,57875284,1984-02-23,1994-04-09
last,77676966,2002-07-23,2009-03-21
place,90625199,1989-02-02,2002-06-27
necessary,84802273,2019-01-12,2021-09-09
day,77196757,2005-03-03,2022-03-02
price,73597868,2015-06-02,2016-11-29
lose,39371127,1992-02-22,2008-01-19
talk,53326587,1971-07-03,1980-11-17
already,20985038,1977-07-12,1991-07-03
citizen,22329118,2006-10-26,2017-04-05
see,16844921,2016-04-22,2019-12-11
suffer,850928,1975-10-01,1977-09-26
high,71596450,1979-01-06,2014-11-28
employee,33799292,1989-07-22,2017-06-26
responsibility,23113616,2009-10-10,2023-09-05
small,57790220,2005-07-24,2011-11-10
lawyer,54924903,1984-07-05,2020-03-22
above,27102200,1975-04-12,2013-07-11
age,36184778,1996-10-11,1997-06-14
keep,43430877,2013-10-01,2014-12-10
address,14902689,2005-06-15,2005-12-04
necessary,75028787,1996-01-29,2007-03-23
animal,17778215,1986-03-07,1994-07-06
opportunity,78815227,1982-11-04,2018-05-05
still,15125371,2019-10-19,2019-11-23
entire,90473946,1984-01-25,2003-05-21
decide,82928836,1985-07-01,1993-09-06
anything,12136814,1998-08-24,2001-08-18
dinner,43338124,1988-11-01,2012-11-17
member,53807968,2014-05-21,2022-07-19
suffer,19088471,1978-08-12,2010-10-26
wait,85913118,1985-07-04,2000-04-04
break,25635174,1974-02-05,2007-03-14
different,83412783,1996-01-30,1999-07-02
pressure,43184506,2017-05-30,2020-08-02
need,50625816,2023-10-03,2024-01-21
quality,69661647,1995-02-28,2002-07-23
visit,29649905,2021-09-27,2022-04-20
concern,11306885,1981-01-10,1994-02-09
science,4862712,1998-11-04,2003-05-04
age,37727576,1980-04-30,2013-06-30
article,70968974,1993-03-10,2015-04-13
miss,94201319,2016-07-04,2018-04-13
marriage,8799132,1982-10-18,2023-07-01
dog,65552169,1986-07-25,2004-01-10
style,35475756,1988-11-20,1994-08-13
make,89726278,1978-09-15,1980-10-12
figure,28522137,2020-12-16,2021-07-25
traditional,54005008,1989-08-29,2010-03-19
have,14550114,2006-09-29,2017-05-30
above,35855194,2021-10-02,2022-08-04
name,36304996,2016-06-09,2019-11-19
our,31953248,1972-01-29,2003-07-12
relationship,15318259,1986-03-05,2021-07-28
agency,33086631,1998-04-10,2004-06-15
because,5112197,2003-08-25,2018-01-29
dog,48058003,1980-04-28,1983-04-02
number,94513898,1983-09-26,2013-01-30
professor,25706208,1982-04-04,2010-06-30
ago,76690871,2000-07-03,2014-12-17
until,48392415,1996-03-28,2016-09-09
ask,11989350,2001-04-07,2018-06-28
miss,81531072,2012-07-10,2013-02-05
however,79448281,1996-09-15,1999-03-09
chair,33038325,1992-12-12,2002-01-02
media,74583259,2002-08-10,2007-09-08
my,36810910,1979-01-07,1991-02-17
television,22983933,1977-08-10,2014-12-06
out,69014392,1992-06-04,1998-03-13
cup,6266871,1984-09-24,1985-09-14
particularly,38997463,2020-11-08,2021-02-23
grow,57196113,1984-11-15,2014-04-17
chair,73026990,1993-03-07,2019-11-09
agreement,7605267,2006-02-24,2006-05-10
national,7733950,2003-03-09,2011-04-05
trouble,76893739,2022-01-13,2023-01-02
bring,76672690,1980-08-28,2019-04-29
should,36825697,1998-08-01,2016-07-09
very,67063319,2018-07-18,2023-07-21
not,36093452,1990-12-07,2010-08-30
same,40288481,1988-06-15,2021-07-21
letter,55769925,2010-06-23,2010-08-27
see,68986321,1987-05-13,2010-10-11
able,42307312,1993-09-06,2014-06-16
hour,41139317,2017-08-02,2021-04-05
language,23186812,1978-11-12,2006-10-27
Congress,15172135,2021-09-10,2023-07-29
almost,62540451,1996-01-19,2008-09-11
turn,23636107,1984-03-12,2015-08-27
parent,96437789,1977-09-03,2016-05-01
family,55383852,2019-10-29,2022-08-20
question,29562982,2005-03-25,2009-10-21
away,55087221,2008-07-20,2020-05-09
international,33751052,1999-04-03,2012-12-22
fast,83656086,1987-03-25,1989-06-16
this,47139842,1988-11-05,2016-03-19
parent,35217414,1989-05-25,2002-02-21
camera,43777304,2001-07-14,2021-06-06
include,98964036,1973-09-04,2015-12-09
another,83345879,1999-12-28,2019-03-18
young,63051557,2003-06-13,2013-03-12
certainly,48747452,1997-11-24,2005-05-12
send,49040394,1978-03-28,1999-06-25
enough,92342719,1981-09-03,2001-09-11
agent,871611,2023-12-19,2024-05-01
few,15491191,1977-11-13,1994-08-12
media,53949661,2010-05-02,2013-06-11
try,73142772,1976-09-05,2010-05-23
want,68859198,1995-11-09,2004-08-17
sell,22786485,1985-03-20,2018-10-27
test,9756310,2008-03-12,2011-06-17
near,47330353,1977-11-15,2016-09-16
guess,99260957,2006-06-25,2018-12-22
meet,8704965,2022-09-18,2024-05-15
sing,67996578,1988-02-13,2011-10-12
result,58709401,1991-03-24,2000-11-06
design,60345890,1983-08-07,1999-11-21
stuff,57138343,2021-08-04,2022-12-16
image,58453143,1992-02-01,2015-01-04
image,76352418,2022-12-03,2023-09-29
term,31619399,1985-12-15,2018-07-16
its,84921705,2006-07-24,2016-09-22
like,84988518,1988-09-30,2006-01-13
by,56880430,2008-01-19,2010-08-05
board,63551678,2009-08-13,2018-04-12
single,51026593,1981-12-10,2015-04-23
fast,77130773,1993-09-10,2017-03-05
sure,97737313,1973-06-17,2016-01-28
site,65906069,2011-11-07,2013-08-27
vote,44976922,1973-08-07,1983-02-21
note,12554653,2000-06-01,2016-05-16
phone,43030703,1985-04-18,1994-02-27
painting,6135356,1994-05-09,2002-02-22
physical,94766267,2024-05-20,2024-06-18
wall,15782824,1983-10-01,1998-05-11
occur,53789951,2019-01-22,2023-05-24
hour,44615721,1999-03-17,2014-06-11
defense,98314573,1976-01-01,2024-01-26
move,22149030,2015-11-08,2022-03-14
short,81691521,1990-11-05,2018-12-18
ahead,14061731,1977-02-17,2018-10-05
which,54901721,2014-10-05,2017-09-03
defense,8934638,2014-08-23,2016-09-10
board,99776207,2000-10-03,2015-03-25
effort,81953251,2007-12-01,2010-10-28
beat,35566865,1987-10-31,2009-08-10
end,18797478,1995-01-13,1997-09-05
according,58779198,1971-03-22,1991-08-07
stage,47519760,1979-07-13,1991-06-17
wall,62168964,1993-09-16,2012-01-19
visit,42303252,1974-01-29,1978-08-28
box,41120650,1976-07-29,2013-05-08
see,99393250,2010-10-19,2015-01-19
after,13260614,1971-11-13,1978-05-10
medical,99228094,1982-06-14,2003-10-09
attack,57701671,1982-07-23,2006-12-13
billion,52719606,2006-11-01,2012-05-19
every,51754094,1985-06-21,2011-03-20
tree,1259492,1985-10-13,1998-04-25
him,74072131,2005-08-25,2007-07-05
edge,40967073,1979-12-17,1993-05-01
throughout,74121664,1971-10-03,2002-02-18
research,36639947,2000-03-18,2018-11-16
teacher,51297230,1975-10-21,1995-01-19
card,16848214,1977-04-06,1981-04-21
new,31280032,1999-04-04,2004-05-12
media,29080534,2007-08-13,2011-03-14
keep,60186583,1980-11-16,2022-11-06
section,48956908,2003-01-16,2018-07-29
surface,13208699,2006-12-16,2019-12-07
individual,35145078,1987-01-05,2009-04-29
push,77273070,1996-12-08,2019-05-03
visit,24096523,1994-04-03,1994-08-07
capital,78240913,1999-06-05,2010-08-20
analysis,76877267,2008-04-24,2018-02-01
newspaper,32496427,2001-04-29,2020-07-31
arm,68822521,1970-09-05,2007-09-24
medical,93250453,1977-11-09,2019-11-26
notice,17282336,1995-03-02,2020-05-24
pick,51169466,1979-11-02,2012-03-20
suddenly,46093983,1973-10-24,2000-02-09
north,74616095,1982-04-25,2016-12-15
its,14570412,1976-11-13,1984-02-10
style,88072374,2020-02-23,2020-07-08
specific,53516267,1976-04-16,2003-11-13
report,71874902,2008-07-04,2014-01-13
staff,13483120,2003-08-25,2023-05-21
its,4685290,2005-07-03,2019-06-13
issue,46066440,1999-02-22,2005-05-14
friend,24349478,1990-07-14,2008-03-17
there,92037067,2011-04-19,2023-03-08
choice,5259863,2012-08-14,2017-09-26
hospital,23060781,1971-12-22,2001-08-21
reveal,11459919,1981-06-17,1997-03-17
husband,54058666,2004-07-15,2021-03-23
focus,56030505,1993-01-26,2002-04-16
face,79832719,1975-07-25,1998-04-05
culture,18892572,2021-01-07,2021-08-01
both,51368358,1974-05-27,1981-08-02
health,52605868,2003-12-01,2020-11-10
company,88464086,2010-12-24,2016-02-27
sister,14987294,2019-01-03,2019-04-28
use,21932244,2010-12-12,2017-03-26
everybody,18477749,1971-04-07,2015-01-18
pressure,51726978,2003-08-13,2017-06-12
guy,69292623,1997-07-26,2017-09-24
write,36316604,2015-06-17,2017-05-15
without,8676269,1974-12-27,2008-06-11
plant,24611151,1982-07-13,2013-01-25
which,52398766,1998-04-25,2007-02-10
allow,24385235,2002-07-21,2020-08-30
important,50336317,2008-03-28,2015-08-06
health,65443746,1977-04-03,1983-11-15
reality,39184444,1986-04-12,2009-10-18
less,13895356,2014-08-17,2024-06-01
must,23925513,1995-07-25,2003-04-27
space,19243138,2014-01-05,2022-02-16
quite,43812487,2000-04-11,2007-11-10
prevent,31984824,1977-08-09,1979-02-11
both,50949641,2018-12-06,2023-04-07
Republican,74587341,2017-08-05,2022-09-04
recognize,52450911,2005-08-20,2020-12-17
serve,91918320,1984-10-03,1990-04-14
strategy,12333851,1971-02-03,2019-10-23
agreement,17092771,1972-07-25,1990-03-08
subject,95493625,2010-12-06,2018-04-20
whole,37459267,2019-09-14,2022-01-02
education,81041099,1978-01-07,2009-04-11
foot,1502427,1984-08-17,2011-01-29
simple,54987113,2018-08-04,2019-04-29
say,11651746,1971-09-19,2018-10-06
word,44581476,2006-06-25,2013-01-21
school,33814199,1989-08-29,2022-12-15
per,8577120,2006-12-08,2021-04-17
those,17466874,1997-06-27,2011-02-20
feel,56807044,1978-05-06,2012-02-09
young,249105,1980-05-22,1992-01-16
course,66752878,2014-03-09,2021-04-15
meet,66653485,1971-01-27,1989-12-28
decision,71590764,2023-01-07,2024-02-06
dog,60918991,2007-11-08,2024-03-21
follow,84730826,2002-04-07,2018-02-11
life,52795768,1996-07-19,2016-12-15
some,5600883,1975-04-01,2016-08-13
myself,44543398,1971-01-23,1971-03-15
save,31762770,1989-04-27,1995-07-06
chair,59593843,2019-05-01,2023-05-07
certainly,28356772,1979-12-14,1984-01-12
of,39518942,1997-03-06,2003-12-17
evidence,47059082,1985-04-26,2010-11-18
among,85192975,2013-04-14,2019-10-14
hotel,41133650,1981-10-28,2022-04-01
ever,17883297,1995-04-14,2020-05-11
season,87314293,1975-07-09,2020-06-20
argue,50920575,1977-11-28,1987-12-09
provide,90922664,2003-07-05,2018-10-28
much,33825666,2010-12-07,2015-07-27
check,5739141,1989-03-06,2007-11-06
again,7875107,1971-05-31,2018-09-09
final,56461990,1984-10-25,1993-12-28
health,58229349,1984-08-06,1995-12-19
past,79123425,2020-10-04,2022-04-16
couple,92831453,2010-01-24,2018-03-02
test,11036925,2019-01-17,2022-07-02
amount,35830353,1990-11-28,2005-05-05
player,43316703,2014-04-24,2019-08-22
everybody,71807630,2018-05-19,2022-11-19
Congress,44583754,2006-07-16,2018-04-06
toward,98676342,1977-05-06,1988-07-30
woman,78465176,2021-06-04,2021-10-09
do,31410586,2020-02-13,2023-09-29
last,94874151,2013-10-17,2023-05-09
above,53780642,1995-03-14,2010-04-30
gas,22699351,1992-10-16,1999-02-02
evidence,40674583,2003-06-30,2014-07-28
loss,49100176,1982-08-01,2005-06-20
though,30835779,1982-04-30,2022-05-21
help,16788690,2013-10-25,2014-05-22
far,81821066,2010-10-16,2023-01-21
player,87257492,1997-11-07,1998-03-27
movie,36005760,2017-08-21,2022-06-14
politics,45138568,1999-08-06,2023-03-31
star,38144230,1983-02-10,2018-03-12
east,74286205,1998-06-27,2012-11-16
office,60805089,2009-10-20,2020-06-18
act,98698606,2013-07-24,2014-10-05
firm,25556486,1976-07-29,2002-05-27
result,99269647,2020-08-17,2022-09-05
these,42830806,2003-05-08,2012-02-16
way,57344742,1982-05-22,1990-05-13
trouble,41609422,2002-05-15,2024-03-22
rich,16386666,2012-05-16,2018-07-22
story,1995743,1978-04-11,1983-09-29
road,41051819,2015-04-28,2017-06-07
stuff,93697723,1978-02-15,2009-09-09
available,93965192,1970-04-20,1979-03-12
school,349719,1986-04-29,1988-08-24
these,35128516,2008-05-07,2010-04-23
throw,36000787,2022-03-17,2022-12-03
what,11458247,2013-09-24,2017-11-04
there,50844096,2006-01-08,2019-05-29
each,34289345,2022-07-04,2024-05-18
successful,86625598,2018-08-17,2024-05-30
charge,9121983,1984-02-12,2023-02-28
individual,32413517,2009-07-29,2024-01-26
far,61568390,1998-04-19,2010-07-26
discuss,58977318,1986-01-05,1989-09-22
help,10649196,2003-11-13,2018-07-09
she,99163275,1971-06-02,2002-02-05
concern,73032305,1974-11-29,1985-12-17
college,33632916,1983-01-30,2000-06-08
mission,3339862,1973-05-15,2010-12-08
per,63378155,1991-04-17,2000-07-20
attack,96568136,2007-06-12,2023-03-12
mother,31838109,1998-03-03,1998-05-04
need,60446198,1993-02-06,2002-04-11
wait,29559579,2005-03-18,2011-03-23
order,38902047,1971-05-16,1998-05-20
challenge,26539488,1998-12-06,2009-12-20
exactly,96382606,1982-03-02,1983-03-30
director,81101729,2006-02-19,2018-04-21
sound,28192863,2019-11-25,2022-02-13
hot,37029994,1985-07-18,2019-08-30
enough,69982342,2021-09-16,2021-10-14
half,52970522,2003-04-30,2016-12-02
police,4853636,1992-07-12,2010-02-21
sell,29046396,2022-09-19,2022-10-24
situation,16253025,2004-10-05,2006-09-30
card,59497846,2012-10-23,2021-08-10
fine,63251556,1980-09-25,1983-09-25
score,63407062,2007-01-02,2023-05-06
instead,83020959,2006-03-07,2013-04-28
land,56259688,1993-10-16,2007-11-15
different,56020973,2012-06-13,2017-02-21
traditional,78583819,1973-06-09,1976-04-11
Congress,45783899,1988-06-29,2024-01-25
perform,60974123,2003-07-20,2010-01-09
manager,24561048,1973-12-03,1993-05-23
court,8899907,2004-07-13,2007-01-19
fish,32845978,1999-11-09,2011-06-17
away,51889642,1989-02-27,2001-04-01
financial,74539499,1990-09-26,2004-08-26
resource,12780906,1986-08-26,2011-08-08
training,61714659,1998-02-22,2018-02-03
board,29498299,1970-09-19,1985-05-23
the,79856381,1982-06-18,1990-02-01
experience,52978311,1991-07-14,1999-06-01
add,3187005,1992-06-29,2009-01-03
sort,64675203,2009-10-02,2023-08-12
commercial,58141137,2018-05-17,2018-08-10
owner,1380178,2015-01-05,2016-09-17
get,70099626,2022-07-09,2022-10-01
pattern,20542372,2013-03-06,2018-12-11
support,94102458,2019-05-23,2023-04-24
hard,13843709,1972-05-30,2016-01-28
particularly,83473970,2005-05-27,2009-03-19
Democrat,42316171,1974-08-10,2023-10-19
green,82782548,1989-07-30,2013-02-24
Democrat,13331722,1981-11-01,1985-12-23
a,60992976,1981-04-24,1985-07-11
door,88628323,1980-02-15,1982-02-17
police,78291546,1989-11-17,2013-12-26
employee,2906116,2012-04-18,2019-10-18
win,62176268,2005-09-09,2008-02-13
impact,60274099,1997-01-04,2018-11-11
second,43372948,2021-12-19,2024-05-31
show,28608843,2015-11-02,2020-08-29
road,1773182,1992-06-24,2013-01-11
test,33463645,1971-11-16,1990-04-10
her,14813425,1974-03-25,2003-11-21
floor,29985020,2015-01-31,2019-08-01
inside,19536454,1981-04-20,2003-01-03
attorney,79414509,2020-01-18,2023-07-25
dark,40921141,2014-04-06,2016-07-11
wind,86915044,2004-04-18,2011-04-18
both,10018970,2003-05-30,2008-08-01
company,28175092,2000-10-22,2007-05-27
maintain,37180529,1991-03-15,2004-10-21
grow,21399401,1983-07-24,1989-01-03
western,7224074,1999-10-06,2002-05-07
else,50508629,1977-04-03,2001-09-13
kitchen,47657861,1986-02-18,2005-08-17
even,57828299,2010-07-06,2011-05-12
particularly,89473641,1975-08-19,1997-08-07
magazine,1517557,1982-05-14,1993-01-13
security,5323718,1972-10-20,1980-11-24
available,16472001,1990-06-17,2017-09-06
over,45257385,1997-09-08,2009-08-27
direction,91407864,1979-02-05,1984-07-24
standard,83493630,1998-09-16,2003-05-06
produce,50673011,1971-01-23,1983-09-20
product,13756917,1972-09-03,2002-12-11
wonder,77498869,1994-04-30,1996-07-13
lay,48843574,1994-10-15,2021-08-20
drop,95468727,1992-11-17,2013-05-19
reduce,72094534,2001-03-01,2012-04-04
surface,66890973,2011-01-25,2017-08-11
capital,44929387,1970-05-07,1984-07-03
again,50710456,2016-08-18,2018-08-15
season,93501326,2017-04-26,2023-05-22
recent,90926879,2005-01-14,2023-07-09
heavy,75372573,2004-05-16,2007-06-02
series,87362196,1976-10-03,1993-11-27
rest,83178987,2000-01-28,2017-09-20
five,41381553,1972-03-06,2003-11-01
I,13412040,1991-01-20,2008-10-25
alone,5005486,1975-04-28,1993-10-10
standard,33486829,1992-05-14,2013-08-13
ever,80678880,2002-10-16,2006-03-05
too,88706185,2016-06-22,2016-07-05
now,17539282,1994-05-25,2000-08-25
appear,34048117,1983-12-25,2009-06-23
specific,36807995,2024-04-17,2024-06-16
color,40690235,1997-03-20,2010-12-22
decade,87444563,2011-08-03,2012-11-09
indicate,50790208,1994-03-24,2020-11-20
long,79946063,2018-08-23,2019-06-25
off,6310657,2005-10-25,2016-01-31
group,70421017,1993-05-20,2011-11-06
again,85688453,1975-04-29,2017-04-12
mention,10971377,1985-12-27,1994-02-13
thank,98948719,1972-11-15,1995-02-27
picture,91923355,1984-11-15,1997-09-13
activity,54035950,1990-09-20,2018-12-03
three,55345924,2002-03-10,2019-01-03
kid,47441427,1980-04-02,1986-07-26
player,36279074,1986-06-20,1987-04-25
cold,33559300,2014-12-15,2018-06-26
chance,78583157,1983-05-12,1988-08-08
everybody,99525629,1984-07-26,1998-05-07
series,72308922,1987-02-09,2012-05-10
entire,51937798,2006-11-11,2011-11-22
area,43294508,2013-11-16,2017-08-26
you,68408062,1986-11-01,1992-05-02
father,18859332,1995-08-28,2017-04-25
fact,51830896,1990-06-16,1993-09-14
teacher,29080920,2022-11-08,2023-01-08
plan,86560014,1986-08-16,2010-01-24
energy,37499707,1983-08-21,2006-06-03
customer,94102458,1993-11-06,2018-11-25
large,14469079,1997-09-17,2015-12-23
serious,94722830,1987-04-20,2009-12-08
morning,40571228,1978-03-03,1986-07-12
in,24192414,1977-10-27,1991-02-02
fire,60610060,1985-05-07,2019-08-23
church,73996517,2016-11-12,2020-06-13
deep,80541659,2012-01-19,2022-12-08
camera,46165110,1977-08-13,2024-04-27
try,54007874,2006-10-15,2022-03-13
like,23956646,2015-05-13,2023-07-03
least,71175958,2021-06-30,2021-07-27
support,93517810,1977-05-06,1982-07-03
pick,23460989,2021-11-02,2022-09-27
character,94850175,2011-11-13,2015-04-02
whether,21196312,2000-04-20,2000-11-07
office,8147886,2008-08-26,2015-11-24
ahead,94489785,2004-10-28,2010-08-30
mind,20023714,2020-03-06,2021-09-07
compare,87703963,1984-08-21,2010-10-22
candidate,6107191,2003-05-01,2006-12-22
Congress,31971119,1971-11-22,2021-10-01
finish,26141667,1987-11-18,2022-08-16
move,73443859,2019-10-16,2022-07-03
medical,19112775,2008-10-04,2012-08-16
conference,96044819,1976-03-15,2002-04-20
would,86826985,1983-10-29,1987-12-26
provide,16803978,1979-09-13,1984-08-09
true,38976631,2012-06-08,2022-07-25
miss,12283823,1993-10-06,2001-10-13
enter,2276207,2018-01-25,2020-05-21
black,41168006,1992-06-15,2023-04-27
road,6730398,2017-01-03,2021-03-19
number,60706981,2007-11-04,2023-05-19
ten,69754258,1974-10-05,1978-06-29
take,59337407,1970-05-02,2007-02-26
capital,39698994,2009-01-04,2019-03-17
person,1890804,1979-06-25,1994-10-24
trouble,87389321,2000-01-13,2016-12-25
visit,86411278,2010-09-03,2013-02-26
executive,51097906,2009-02-03,2021-08-18
magazine,34476536,1980-12-18,2017-04-27
skill,37043711,1996-11-01,2022-04-19
your,42800323,1992-11-15,2008-10-06
wish,26823056,1998-08-19,2018-01-11
action,83717791,1990-05-10,2003-01-01
exactly,56347548,1989-06-25,1989-12-10
culture,40217314,2023-11-28,2024-06-28
total,76275265,1987-04-03,2017-12-17
contain,95693412,1994-12-06,2016-05-21
from,97284543,2021-04-21,2022-12-22
camera,12881090,2020-04-26,2021-09-16
make,64244866,1985-06-11,2015-12-09
community,61326715,1991-02-09,2018-03-19
throw,32749768,1980-11-21,2015-05-19
industry,73928051,1984-03-12,2021-09-20
surface,26574305,1998-01-02,2012-09-12
truth,19408573,2015-09-06,2020-04-20
both,10257626,1988-07-07,2022-11-20
office,82322137,2015-09-18,2022-05-23
director,41813512,1986-09-24,2007-06-23
hand,23499656,1984-05-21,1984-12-29
or,79969529,1995-12-04,2003-02-26
red,11726617,2022-05-03,2023-02-25
leg,59319158,2015-02-06,2021-04-02
start,43606344,1986-09-14,2018-03-20
body,36825697,1978-02-25,1978-08-25
program,85120099,1975-08-27,1995-11-25
population,44859498,1990-06-23,2001-11-01
attack,86182574,2012-06-06,2014-03-20
truth,24679498,1999-04-13,2011-10-12
time,49843414,1981-08-30,2011-03-19
president,22498878,1997-06-30,2009-10-04
second,20137604,2013-03-04,2019-04-11
mission,58057645,1979-02-06,1979-06-17
send,55934183,1974-02-06,1980-02-12
gun,55934183,1993-03-26,2020-02-09
prove,24013422,1987-09-10,2012-06-21
total,80494970,1988-01-16,1989-11-28
would,9483973,1990-11-28,2014-02-25
choice,46355213,2018-06-03,2022-12-24
speak,95605045,1970-05-09,2014-12-08
smile,7946046,2003-11-01,2019-12-30
theory,58011015,2010-12-04,2021-04-01
staff,51730632,1982-08-24,1988-08-11
particular,40538185,2012-08-19,2020-10-10
street,67651892,1976-12-19,2019-10-13
help,63120860,1974-01-09,2018-05-21
large,37462344,1984-06-30,2012-06-22
water,22232113,1997-02-27,2017-11-07
matter,43890220,1979-03-26,1995-05-31
